item_index,item,footprint,footprint_type,edible_fraction,median
LSO,"Pigmeat, intensive",100.2905898082192,mg_abx_bko,0.73,273.9817128621005
PRK,"Pigmeat, intensive",645.801508562557,mg_abx_bko,0.73,273.9817128621005
PRT,"Pigmeat, intensive",271.4926736712329,mg_abx_bko,0.73,273.9817128621005
PHL,"Pigmeat, intensive",639.4475125442922,mg_abx_bko,0.73,273.9817128621005
LKA,"Pigmeat, intensive",663.6356056091324,mg_abx_bko,0.73,273.9817128621005
NOR,"Pigmeat, intensive",11.99734637808219,mg_abx_bko,0.73,273.9817128621005
NLD,"Pigmeat, intensive",38.58743627397261,mg_abx_bko,0.73,273.9817128621005
MNP,"Pigmeat, intensive",645.801508562557,mg_abx_bko,0.73,273.9817128621005
MRT,"Pigmeat, intensive",100.41305244931505,mg_abx_bko,0.73,273.9817128621005
MSR,"Pigmeat, intensive",524.0996160182648,mg_abx_bko,0.73,273.9817128621005
MNG,"Pigmeat, intensive",642.4214137881278,mg_abx_bko,0.73,273.9817128621005
MTQ,"Pigmeat, intensive",524.0996160182648,mg_abx_bko,0.73,273.9817128621005
MNE,"Pigmeat, intensive",277.2658572876712,mg_abx_bko,0.73,273.9817128621005
